BUDGET FISCAL YEAR,DEPARTMENT NAME,FUND NAME,ACCOUNT NAME,ADOPTED BUDGET AMOUNT,TOTAL EXPENDITURES,BUDGET CHANGE AMOUNT,BUDGET TRANSFER IN AMOUNT,BUDGET TRANSFER OUT AMOUNT,TOTAL BUDGET,ENCUMBRANCE AMOUNT,PRE-ENCUMBRANCE AMOUNT,BUDGET UNCOMMITTED AMOUNT,ACCOUNT GROUP NAME,FUND,ACCOUNT
2017,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,GRANT REIMBURSEMENTS TO GENERAL FUND,0.00,121420.64,121420.64,0.00,0.00,121420.64,0.00,0.00,0.00,,51Q,94N799
2019,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,PW-STREET SERVICES,4688493.00,12693211.99,8032722.34,0.00,0.00,12721215.34,0.00,0.00,28003.35,,59C,94R186
2015,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRAVEL & TRAINING,25000.00,12917.14,-12082.86,0.00,0.00,12917.14,-0.00,0.00,0.00,,540,94L214
2023,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,BRIDGE MAINTENANCE PROGRAM,800000.00,22680.00,0.00,0.00,0.00,800000.00,0.00,0.00,777320.00,,51Q,94WM16
2023,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),CONSTRUCTION EXPENSE,4560.00,1049.95,0.00,0.00,0.00,4560.00,0.00,0.00,3510.05,EXPENSES,100,003030
2022,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,CONTRACTUAL SERVICES-SUPPORT,25000.00,44.98,0.00,0.00,0.00,25000.00,0.00,0.00,24955.02,SPECIAL,540,94V638
2014,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRAVEL AND TRAINING,28000.00,26022.47,-1977.53,0.00,0.00,26022.47,-0.00,0.00,0.00,,540,94K214
2022,TRANSPORTATION,SPECIAL PARKING REVENUE,GENERAL SERVICES,0.00,8002.67,8002.67,0.00,0.00,8002.67,0.00,0.00,-0.00,,363,94V140
2023,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,REIMAGINE VENTRUA BLVD - PHASE 2,400000.00,0.00,0.00,0.00,0.00,400000.00,0.00,0.00,400000.00,,59C,94WV71
2014,TRANSPORTATION,NEIGHBORHOOD TRAFFIC MGMT,WILSHIRE WEST TRAFFIC IMPROVEMENTS,0.00,0.00,11189.42,0.00,0.00,11189.42,0.00,0.00,11189.42,,47H,94K474
2023,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,PAINT AND SIGN MAINTENANCE,1571186.00,1552415.07,0.00,0.00,0.00,1571186.00,6783.23,0.00,18770.93,SPECIAL,59C,94W478
2017,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,REIMBURSEMENT OF GENERAL FUND COSTS,21378142.00,19327118.53,-2051023.47,0.00,0.00,19327118.53,0.00,0.00,0.00,,540,94N299
2022,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,91760.00,61112.17,0.00,0.00,0.00,91760.00,33423.05,0.00,30647.83,EXPENSES,100,006020
2013,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,ENVIRONMENTAL AFFAIRS TRUST FUND,0.00,214200.00,214200.00,0.00,0.00,214200.00,0.00,0.00,0.00,,51Q,94J537
2022,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,POLICE,635000.00,0.00,0.00,0.00,0.00,635000.00,0.00,0.00,635000.00,,596,94V170
2022,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,BUREAU OF STREET SERVICES,9559747.00,12272886.17,3800000.00,0.00,0.00,13359747.00,0.00,0.00,1086860.83,,59C,94V186
2014,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,RESERVE FOR FUTURE TRANSIT SERVICE,57884834.00,0.00,-57884834.00,0.00,0.00,0.00,0.00,0.00,0.00,,385,94K399
2019,TRANSPORTATION,TRANSPORTATION GRANTS FUND,ANAHEIM ST WIDEN FRM FARRAG-DOMINGZ CHAN-F7207(CFP),0.00,0.00,4267382.00,0.00,0.00,4267382.00,0.00,0.00,4267382.00,,655,94RT0G
2023,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,ACTIVE TRANSPORTATION PROGRAM PROJECT FUNDING GAPS,1000000.00,0.00,0.00,0.00,0.00,1000000.00,0.00,0.00,1000000.00,,59C,94WV63
2012,TRANSPORTATION,LOCAL TRANSPORTATION,CAPITAL IMPROVEMENT EXPENDITURE PROGRAM,7164209.00,0.00,-7164209.00,0.00,0.00,0.00,0.00,0.00,0.00,,207,94300H
2018,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,CONCRETE STREET REPAIR  HANCOCK PARK,800000.00,0.00,-450000.00,0.00,0.00,350000.00,0.00,0.00,350000.00,,59C,94PV22
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,SAN FERNANDO RD BIKE PATH-PH 3,0.00,21716059.71,22266500.00,0.00,0.00,22266500.00,3004134.18,0.00,550440.29,,655,94LT46
2012,TRANSPORTATION,TRANSPORTATION GRANTS FUND,GLASSELL PARK TRANSIT PAVILION,0.00,4019.49,4019.49,0.00,0.00,4019.49,0.00,0.00,-0.00,,655,94H575
2023,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRAFFIC SIGNAL SUPPLIES,2000000.00,18219.44,0.00,0.00,0.00,2000000.00,0.00,0.00,1981780.56,SPECIAL,540,94W800
2023,TRANSPORTATION,TRANSPORTATION GRANTS FUND,BLDG A CLIMATE-RESILIENT TRANSP.NETWORK IN COMMUNITIES,0.00,412174.00,412992.00,0.00,0.00,412992.00,390686.50,0.00,818.00,,655,94WT4K
2018,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,PW-ENGINEERING,158759.00,112244.97,-46514.03,0.00,0.00,112244.97,0.00,0.00,0.00,,385,94P178
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,INTEGRATED MBLTY HUBS PROGRAM,0.00,376368.70,8350000.00,0.00,0.00,8350000.00,0.00,0.00,7973631.30,,655,94LT33
2018,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,GAGE STREET PUBLIC SAFETY MEDIAN IMPROVEMENTS,450000.00,226746.05,0.00,0.00,0.00,450000.00,13286.23,0.00,223253.95,,59C,94PV08
2016,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,BICYCLE PLAN/PROGRAM,2100000.00,1328888.10,-770313.15,0.00,0.00,1329686.85,61200.85,0.00,798.75,,51Q,94M482
2015,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,BICYCLE PLAN/PROGRAM-BIKE GRATE REPLACEMENT PROJECT,774000.00,605388.25,-140565.00,0.00,0.00,633435.00,0.00,0.00,28046.75,,51Q,94L465
2024,TRANSPORTATION,BICYCLE PLAN TRUST FUND,BICYCLE IMP & MOBILITY HUB CURSON-WILSHIRE CURSON,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00,100000.00,,55C,94YN40
2013,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,CONTRACTUAL SERVICES-SUPPORT,50000.00,3081.01,-46918.99,0.00,0.00,3081.01,0.00,0.00,0.00,,540,94J638
2023,TRANSPORTATION,WEST LA TRANSP IMPROV & MITIGA,REIMBURSEMENT OF GENERAL FUND COSTS,325495.00,325495.00,0.00,0.00,0.00,325495.00,0.00,0.00,0.00,,681,94W299
2016,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,GRANT REIMBURSEMENTS TO GENERAL FUND,0.00,87851.20,87851.20,0.00,0.00,87851.20,0.00,0.00,0.00,,51Q,94M799
2014,TRANSPORTATION,DEPT TRANSPORTATION TRUST,DEVONSHIRE WINNETKA LEFT-TURN PHASING,0.00,0.00,33513.75,0.00,0.00,33513.75,0.00,0.00,33513.75,,840,94K901
2023,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,STREET LIGHTING IMPROVEMENTS ON DOT NEW & MODIFIELD SIGNALS,125000.00,0.00,0.00,0.00,0.00,125000.00,0.00,0.00,125000.00,,59C,94WV62
2023,TRANSPORTATION,WEST LA TRANSP IMPROV & MITIGA,COUNCIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,681,94W128
2017,TRANSPORTATION,SPECIAL PARKING REVENUE,PARKING STUDIES,355000.00,213946.00,-141054.00,0.00,0.00,213946.00,-0.00,0.00,0.00,SPECIAL,363,94NS09
2020,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,VISION ZERO BUS STOP SECURITY LIGHTING,495000.00,174544.04,-228000.00,0.00,0.00,267000.00,55511.00,0.00,92455.96,SPECIAL,385,94SA14
2023,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,91760.00,44468.11,0.00,0.00,0.00,91760.00,2248.50,0.00,47291.89,EXPENSES,100,006020
2020,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,ATSAC SYSTEMS MAINTENANCE,3000000.00,2979262.17,-16883.74,0.00,0.00,2983116.26,77204.27,0.00,3854.09,SPECIAL,51Q,94S634
2024,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,OPEN STREETS PROGRAM,0.00,0.00,1000000.00,0.00,0.00,1000000.00,0.00,0.00,1000000.00,SPECIAL,59C,94YD10
2023,TRANSPORTATION,SPECIAL PARKING REVENUE,PARKING METER AND OFF-STREET PARKING ADMINISTRATION,6618000.00,5027446.63,0.00,0.00,0.00,6618000.00,0.00,0.00,1590553.37,SPECIAL,363,94W060
2014,TRANSPORTATION,ATSAC TRUST,MARY STAR OF THE SEA HIGH SCHOOL,0.00,158000.00,158000.00,0.00,0.00,158000.00,0.00,0.00,0.00,,484,94K288
2020,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,REIMBURSEMENT OF GENERAL FUND COSTS,2392976.00,2192410.22,-200565.78,0.00,0.00,2192410.22,0.00,0.00,0.00,SPECIAL,528,94299S
2014,TRANSPORTATION,ARRA-TRANSPORTATION PROJ SPECI,INTEREST INCOME FROM ARRA PROJ TO GENERAL FUND,0.00,1261562.46,1261562.46,0.00,0.00,1261562.46,0.00,0.00,0.00,,51X,94K778
2014,TRANSPORTATION,LOCAL TRANSPORTATION,FURNITURE & EQUIPMENT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,207,94K304
2022,TRANSPORTATION,LOCAL TRANSPORTATION,SAN FERNANDO ROAD BIKE PATH PHASE 3 METROLINK LOCAL MATCH,450000.00,450000.00,0.00,0.00,0.00,450000.00,22500.00,0.00,0.00,SPECIAL,207,94VD20
2023,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,LA RIVER WAY-SAN FERNANDO VALLEY COMPLETION PROJECT,5289000.00,0.00,0.00,0.00,0.00,5289000.00,0.00,0.00,5289000.00,,59C,94WV36
2024,TRANSPORTATION,WARNER CTR TRANS IMPROVE TRUST,TRANSPORTATION,344097.00,0.00,0.00,0.00,0.00,344097.00,0.00,0.00,344097.00,,573,94Y194
2017,TRANSPORTATION,LOCAL TRANSPORTATION,SPEED HUMP PROGRAM,540000.00,533892.25,-6107.75,0.00,0.00,533892.25,0.00,0.00,0.00,SPECIAL,207,94ND11
2016,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,7922332.00,15110830.08,5320794.69,3574585.00,2500.00,16815211.69,0.00,0.00,1704381.61,SALARIES AND BENEFITS,100,001090
2018,TRANSPORTATION,LOCAL TRANSPORTATION,SIDEWALK REPAIR CONTRACTUAL SERVICES,1770047.00,1739858.35,-30188.65,0.00,0.00,1739858.35,-0.00,0.00,0.00,SPECIAL,207,94PD14
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT STORE,800000.00,464119.02,0.00,0.00,0.00,800000.00,131566.47,0.00,335880.98,SPECIAL,385,94W420
2019,TRANSPORTATION,ATSAC TRUST,1ST STREET/ GRAND AVENUE (CEN06-3022),0.00,0.00,1410905.00,0.00,0.00,1410905.00,0.00,0.00,1410905.00,,484,94RU17
2021,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,L.A. NEIGHBORHOOD INITIATIVE,550000.00,0.00,0.00,0.00,0.00,550000.00,0.00,0.00,550000.00,,540,94T993
2018,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,COMMUNITY DASH BUS PURCHASE PROGRAM EXPANSION,10000000.00,9999940.00,-60.00,0.00,0.00,9999940.00,1683044.60,0.00,0.00,SPECIAL,385,94PA00
2017,TRANSPORTATION,LOCAL TRANSPORTATION,BIKEWAYS PROGRAM,295322.00,273331.00,-122.00,0.00,0.00,295200.00,0.00,0.00,21869.00,,207,94ND02
2016,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,OFFICE SUPPLIES,50000.00,28682.33,-21317.67,0.00,0.00,28682.33,0.00,0.00,0.00,SPECIAL,540,94M415
2021,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,"VISION ZERO CONTRACTS, SPEED SURVEYS, OUTREACH CAMPAIGN",200000.00,199092.10,0.00,0.00,0.00,200000.00,527.92,0.00,907.90,,51Q,94TM11
2023,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,STREET LIGHTING AT EXISTING PEDESTRIAN CROSSWALKS-VISIONZERO,500000.00,0.00,-26000.00,0.00,0.00,474000.00,0.00,0.00,474000.00,,59C,94WV25
2012,TRANSPORTATION,LOCAL TRANSPORTATION,BICYCLE STUDIES,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,207,94H668
2024,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,PARATRANSIT PROGRAM COORDINATOR SERVICES,2500000.00,228095.00,0.00,0.00,0.00,2500000.00,136382.90,0.00,2271905.00,,385,94Y241
2020,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,CITY ADMINISTRATIVE OFFICER,76238.00,76238.00,0.00,0.00,0.00,76238.00,0.00,0.00,0.00,,540,94S110
2013,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,ADMINISTRATIVE EXPENSE,0.00,64553.09,64553.09,0.00,0.00,64553.09,0.00,0.00,0.00,,596,946601
2016,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,REIMBURSEMENT OF GENERAL FUND COSTS,12828362.00,6323127.98,-6505234.02,0.00,0.00,6323127.98,0.00,0.00,0.00,,51Q,94M299
2015,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,ATSAC SYSTEMS MAINTENANCE,550000.00,307734.00,-242266.00,0.00,0.00,307734.00,-0.00,0.00,0.00,,540,94L634
2017,TRANSPORTATION,TRANSPORTATION GRANTS FUND,BROADWAY STREETSCAPE IMPLEMENTATION - 8TH ST TO 9TH ST,0.00,354379.17,1400000.00,0.00,0.00,1400000.00,82765.30,50000.00,995620.83,,655,94NT64
2022,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,LA AL FRESCO PROGRAM,0.00,110119.21,972222.00,0.00,0.00,972222.00,4.00,0.00,862102.79,,59C,94VV59
2012,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),UNIFORMS,127595.00,39070.00,0.00,0.00,86741.00,40854.00,0.00,0.00,1784.00,EXPENSES,100,004430
2023,TRANSPORTATION,VENTURA/CAHUENGA CORRIDOR PLAN,REIMBURSEMENT OF GENERAL FUND COSTS,70333.00,66595.83,0.00,0.00,0.00,70333.00,0.00,0.00,3737.17,,523,94W299
2023,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,BICYCLE LANE REPAIR AND MAINTENANCE,3679109.00,0.00,-1500000.00,0.00,0.00,2179109.00,0.00,0.00,2179109.00,,51Q,94WM15
2014,TRANSPORTATION,COASTAL TRANSP CORRIDOR TRUST,COUNCIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,447,94K128
2018,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,SOTO STREET (2446) ROCKFALL MITIGATION,71000.00,0.00,-71000.00,0.00,0.00,0.00,0.00,0.00,0.00,,59C,94PV20
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,"HSIP6-MAIN ST SFTY IMPRVMTS:RDWY DIET,BK LN,MDN ISLDS BTW 9T",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,655,94LT19
2013,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),SIGNAL SUPPLIES AND REPAIRS,3527036.00,3394638.64,135700.00,19000.00,45000.00,3636736.00,-0.00,0.00,242097.36,EXPENSES,100,003360
2016,TRANSPORTATION,TRANSPORTATION GRANTS FUND,PW-STREET SERVICES,0.00,23916.64,23916.64,0.00,0.00,23916.64,0.00,0.00,0.00,,655,94M186
2018,TRANSPORTATION,DEPT TRANSPORTATION TRUST,TRANSPORTATION,0.00,2750634.05,2775660.32,0.00,0.00,2775660.32,0.00,0.00,25026.27,,840,94P194
2017,TRANSPORTATION,TRANSPORTATION GRANTS FUND,CENTRAL AVE SAFETEA-LU HISTORIC CORRIDOR STRSCAPE IMPRV,0.00,130016.79,1490234.00,0.00,0.00,1490234.00,77767.55,145650.42,1214566.79,,655,94NT70
2019,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,STREET LIGHTING AT EXISTING PEDESTRIAN CROSSWALKS,500000.00,227532.12,-232724.85,0.00,0.00,267275.15,0.00,0.00,39743.03,,59C,94RV25
2015,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT OPERATIONS CONSULTANT,500000.00,1041905.72,541905.72,0.00,0.00,1041905.72,0.00,0.00,0.00,,385,94L429
2018,TRANSPORTATION,SPECIAL PARKING REVENUE,SPECIAL PARKING REVENUE FUND LOCAL RETURN - PILOT,600000.00,0.00,-600000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,363,94PS06
2016,TRANSPORTATION,TRANSPORTATION GRANTS FUND,GRANT REIMBURSEMENTS TO GENERAL FUND,0.00,3363648.58,3363648.58,0.00,0.00,3363648.58,0.00,0.00,0.00,,655,94M799
2020,TRANSPORTATION,TRANSPORTATION GRANTS FUND,CAPITAL IMPROVEMENT EXPENSE PROGRAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,655,94S154
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,MATCHING FUNDS - MEASURE R PROJECTS/LRPT/30-10,25000000.00,25000000.00,0.00,0.00,0.00,25000000.00,0.00,0.00,0.00,SPECIAL,385,94WA29
2023,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,GENERAL SERVICES,742277.00,742277.00,0.00,0.00,0.00,742277.00,0.00,0.00,0.00,,540,94W140
2013,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,CRENSHAW/SLAUSON STATION AREA,400000.00,0.00,-400000.00,0.00,0.00,0.00,0.00,0.00,0.00,,51Q,94J674
2018,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT SIGN PRODUCTION/INSTAL,250000.00,180000.00,-70000.00,0.00,0.00,180000.00,9701.61,0.00,0.00,,385,94P240
2018,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,ATSAC SYSTEMS MAINTENANCE,3000000.00,2591203.28,-333427.68,0.00,0.00,2666572.32,314872.60,20069.10,55299.94,SPECIAL,51Q,94P634
2023,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,7TH STREET STREETSCAPE,220891.00,0.00,0.00,0.00,0.00,220891.00,0.00,0.00,220891.00,,51Q,94WM14
2023,TRANSPORTATION,SPECIAL PARKING REVENUE,"MAINTENANCE, REPAIR, & UTILITY SERVICE FOR OFF-STREET LOTS",2500000.00,1142063.06,0.00,0.00,0.00,2500000.00,33821.43,0.00,1357936.94,SPECIAL,363,94W030
2016,TRANSPORTATION,LOCAL TRANSPORTATION,BIKELANE PROGRAM-CITYWIDE,169684.00,169608.25,-75.75,0.00,0.00,169608.25,0.00,0.00,0.00,,207,94MD03
2019,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,FACILITY UPGRADES FOR ELECTRIFICATION,6000000.00,55843.26,-50000.00,0.00,0.00,5950000.00,2509.38,0.00,5894156.74,SPECIAL,385,94RA20
2024,TRANSPORTATION,WARNER CTR TRANS IMPROVE TRUST,REIMBURSEMENT OF GENERAL FUND COSTS,301601.00,0.00,0.00,0.00,0.00,301601.00,0.00,0.00,301601.00,,573,94Y299
2021,TRANSPORTATION,ATSAC TRUST,BRADLEY LANDFILL,0.00,0.00,726957.00,0.00,0.00,726957.00,0.00,0.00,726957.00,,484,94TU24
2022,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,L.A. NEIGHBORHOOD INITIATIVE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,540,94V508
2020,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,CITY PLANNING,400000.00,0.00,-400000.00,0.00,0.00,0.00,0.00,0.00,0.00,,51Q,94S168
2018,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,PEDESTRIAN PLAN/PROGRAM,2250000.00,1937539.49,-300000.00,0.00,0.00,1950000.00,108131.36,12460.51,0.00,SPECIAL,51Q,94P487
2015,TRANSPORTATION,COASTAL TRANSP CORRIDOR TRUST,TRANSPORTATION,427794.00,353801.16,-73992.84,0.00,0.00,353801.16,0.00,0.00,0.00,,447,94L194
2020,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,SENIOR CITYRIDE PROGRAM,3708000.00,3485814.00,-222186.00,0.00,0.00,3485814.00,0.00,0.00,0.00,,385,94S599
2024,TRANSPORTATION,WEST LA TRANSP IMPROV & MITIGA,COUNCIL,0.00,1021.05,1021.05,0.00,0.00,1021.05,0.00,0.00,0.00,,681,94Y128
2020,TRANSPORTATION,TRANSPORTATION GRANTS FUND,BROADWAY-MANCHESTER TRANSPORTATION EQUITY PROJ,0.00,4500000.00,14821000.00,0.00,0.00,14821000.00,695412.27,817802.00,9503198.00,,655,94ST1J
2014,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,GENERAL SERVICES DEPT,0.00,513.38,513.38,0.00,0.00,513.38,0.00,0.00,0.00,,385,94K140
2023,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,GENERAL SERVICES,2085756.00,2848731.75,796548.99,0.00,0.00,2882304.99,0.00,0.00,33573.24,,51Q,94W140
2019,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,UNIVERSAL FARE SYSTEM,500000.00,500000.00,0.00,0.00,0.00,500000.00,0.00,0.00,0.00,SPECIAL,385,94R413
2017,TRANSPORTATION,LOCAL TRANSPORTATION,LA RIVER HEADWATERS BIKE PATH,300000.00,259156.98,-20000.00,0.00,0.00,280000.00,0.00,0.00,20843.02,,207,94ND12
2024,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,CITYRIDE FARE CARD,2780000.00,0.00,0.00,0.00,0.00,2780000.00,0.00,0.00,2780000.00,SPECIAL,385,94YA28
2018,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,CONSULTING SERVICES,0.00,200000.00,200000.00,0.00,0.00,200000.00,0.00,0.00,0.00,,51Q,94PM12
2023,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,PLUMMER/NATICK CROSSWALK,250000.00,0.00,0.00,0.00,0.00,250000.00,0.00,0.00,250000.00,,59C,94WV69
2021,TRANSPORTATION,WEST LA TRANSP IMPROV & MITIGA,COUNCIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,681,94T128
2018,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,GLIDER AVE AND WILEY POST STREET SUBSIDENCE,300000.00,226063.91,-38071.00,0.00,0.00,261929.00,594.35,0.00,35865.09,,59C,94PV12
2020,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,7922332.00,16372266.78,7349861.84,10959000.00,4000000.00,22231193.84,0.00,0.00,5858927.06,SALARIES AND BENEFITS,100,001090
2024,TRANSPORTATION,SPECIAL PARKING REVENUE,"MAINTENANCE, REPAIR, & UTILITY SERVICE FOR OFF-STREET LOTS",2500000.00,743500.00,0.00,0.00,0.00,2500000.00,743500.00,0.00,1756500.00,SPECIAL,363,94Y030
2023,TRANSPORTATION,ATSAC TRUST,GENERAL SERVICES,0.00,118772.95,118772.95,0.00,0.00,118772.95,0.00,0.00,0.00,,484,94W140
2020,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,GAGE STREET PUBLIC SAFETY MEDIAN IMPROVEMENTS,992000.00,0.00,0.00,0.00,0.00,992000.00,0.00,0.00,992000.00,,59C,94SV08
2018,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,LOS ANGELES NEIGHBORHOOD INITIATIVE,550000.00,550000.00,0.00,0.00,0.00,550000.00,0.00,0.00,0.00,SPECIAL,51Q,94PM10
2017,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,LED REPLACEMENT MODULES,2500000.00,2346606.24,-153393.76,0.00,0.00,2346606.24,0.00,0.00,0.00,SPECIAL,540,94N802
2019,TRANSPORTATION,TRANSPORTATION GRANTS FUND,CITYWIDE PEDESTRIAN SAFETY IMPROVEMENT PROJECT,0.00,1408948.00,1784876.00,0.00,0.00,1784876.00,1065222.66,25561.00,350367.00,,655,94RT98
2020,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,STREET LIGHTING AT EXISTING PEDESTRIAN CROSSWALKS,500000.00,492630.83,-0.00,0.00,0.00,500000.00,-0.00,0.00,7369.17,,59C,94SV25
2015,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,CITY PLANNING,0.00,11090.13,11090.13,0.00,0.00,11090.13,0.00,0.00,0.00,,540,94L168
2018,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT FACILITY SECURITY AND MAINTENANCE,2000000.00,982788.38,-1017211.62,0.00,0.00,982788.38,0.00,0.00,0.00,SPECIAL,385,94P427
2018,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,16760.00,91360.95,0.00,90000.00,0.00,106760.00,-0.00,0.00,15399.05,EXPENSES,100,006020
2023,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,PAINT AND SIGN MAINTENANCE,1800000.00,1682456.66,0.00,0.00,0.00,1800000.00,16661.99,0.00,117543.34,SPECIAL,51Q,94W478
2020,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,COMPLETE STREETS,5333000.00,4047034.98,0.00,0.00,0.00,5333000.00,2839830.51,594467.85,691497.17,SPECIAL,59C,94SC90
2012,TRANSPORTATION,SPECIAL PARKING REVENUE,"REPLACEMENT PARTS, TOOLS & EQUIPMENT",918200.00,607154.83,-311045.17,0.00,0.00,607154.83,-0.00,0.00,0.00,,363,94H070
2018,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,PW-STREET LIGHTING,0.00,92051.00,92051.00,0.00,0.00,92051.00,0.00,0.00,0.00,,59C,94P184
2017,TRANSPORTATION,TRANSPORTATION GRANTS FUND,BOYLE HEIGHTS PEDESTRIAN LINKAGES-AT NEW SIXTH ST VIADUCT,0.00,4231250.55,5000000.00,0.00,0.00,5000000.00,1972423.46,0.00,768749.45,,655,94NT73
2020,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,FENTON AVE AND TERRA BELLA IMPROVEMENT PROJECT,0.00,87640.34,90000.00,0.00,0.00,90000.00,0.00,0.00,2359.66,,59C,94SV55
